status	key	command
Composition	F10	ConvertToHalfAlphanumeric
Conversion	F10	ConvertToHalfAlphanumeric
Composition	F2	ConvertWithoutHistory
Composition	F6	ConvertToHiragana
Conversion	F6	ConvertToHiragana
Composition	F7	ConvertToFullKatakana
Conversion	F7	ConvertToFullKatakana
Composition	F8	ConvertToHalfWidth
Conversion	F8	ConvertToHalfWidth
Composition	F9	ConvertToFullAlphanumeric
Conversion	F9	ConvertToFullAlphanumeric
Composition	Henkan	Convert
Conversion	Henkan	ConvertNext
Precomposition	Hiragana	InputModeHiragana
Composition	Hiragana	InputModeHiragana
Conversion	Hiragana	InputModeHiragana
Composition	Home	MoveCursorToBeginning
Conversion	Home	SegmentFocusFirst
Precomposition	Katakana	InputModeFullKatakana
Composition	Katakana	InputModeFullKatakana
Conversion	Katakana	InputModeFullKatakana
Composition	Left	MoveCursorLeft
Conversion	Left	SegmentFocusLeft
Composition	Muhenkan	SwitchKanaType
Conversion	Muhenkan	SwitchKanaType
Conversion	PageDown	ConvertNextPage
Conversion	PageUp	ConvertPrevPage
Composition	Right	MoveCursorRight
Conversion	Right	SegmentFocusRight
Precomposition	Shift Backspace	LaunchWordRegisterDialog
Composition	Shift Backspace	Backspace
Conversion	Shift Backspace	Cancel
Conversion	Shift Down	ConvertNextPage
Composition	Shift ESC	Cancel
Conversion	Shift ESC	Cancel
Suggestion	Shift Enter	CommitFirstSuggestion
Conversion	Shift Henkan	ConvertPrev
Composition	Shift Left	MoveCursorLeft
Conversion	Shift Left	SegmentWidthShrink
Precomposition	Shift Muhenkan	ToggleAlphanumericMode
Composition	Shift Muhenkan	ConvertToFullAlphanumeric
Conversion	Shift Muhenkan	ConvertToFullAlphanumeric
Composition	Shift Right	MoveCursorRight
Conversion	Shift Right	SegmentWidthExpand
Precomposition	Shift Space	InsertAlternateSpace
Composition	Shift Space	Convert
Conversion	Shift Space	ConvertPrev
Conversion	Shift Tab	ConvertPrev
Conversion	Shift Up	ConvertPrevPage
Precomposition	Space	InsertSpace
Composition	Space	Convert
Conversion	Space	ConvertNext
Composition	Tab	PredictAndConvert
Conversion	Tab	PredictAndConvert
Conversion	Up	ConvertPrev
Prediction	Ctrl Delete	DeleteSelectedCandidate
DirectInput	Ctrl Backspace	Reconvert
Precomposition	Ctrl Backspace	Reconvert
Precomposition	Ctrl l	IMEOff
DirectInput	Eisu	IMEOn
DirectInput	F13	IMEOn
DirectInput	Hankaku/Zenkaku	IMEOn
Precomposition	Hankaku/Zenkaku	IMEOff
Composition	Hankaku/Zenkaku	IMEOff
Conversion	Hankaku/Zenkaku	IMEOff
DirectInput	Henkan	IMEOn
DirectInput	Hiragana	IMEOn
DirectInput	Katakana	IMEOn
DirectInput	Ctrl Space	IMEOn
Precomposition	Ctrl Space	IMEOff
Precomposition	ASCII	InsertCharacter
Composition	ASCII	InsertCharacter
DirectInput	ON	IMEOn
DirectInput	Kanji	IMEOn
Precomposition	OFF	IMEOff
Precomposition	ON	IMEOn
Precomposition	Kanji	IMEOff
Composition	OFF	IMEOff
Composition	ON	IMEOn
Composition	Kanji	IMEOff
Conversion	OFF	IMEOff
Conversion	ON	IMEOn
Conversion	Kanji	IMEOff
